"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 07 16:27:38 CST 2023","Tue Mar 07 16:27:38 CST 2023","68","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局已取消","逆向用例、取消自己发布的组局、组局状态为已取消"
"passed","Tue Mar 07 16:27:26 CST 2023","Tue Mar 07 16:27:26 CST 2023","112","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局进行中","逆向用例、报名他人发布的组局、组局状态为进行中，只有状态为报名中的组局才可报名"
"passed","Tue Mar 07 16:27:31 CST 2023","Tue Mar 07 16:27:31 CST 2023","59","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局状态失败","逆向用例、报名他人发布的组局、组局状态为组局失败，组局失败状态，用户不可报名"
"passed","Tue Mar 07 16:27:30 CST 2023","Tue Mar 07 16:27:30 CST 2023","82","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局已取消","逆向用例、报名他人发布的组局、组局状态为已作废，只有状态为报名中的组局才可报名"
"passed","Tue Mar 07 16:27:20 CST 2023","Tue Mar 07 16:27:21 CST 2023","26","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局失败---费用方式空","新增有局---开放局、费用方式为空，预期：付款方式为空、新增失败"
"passed","Tue Mar 07 16:27:25 CST 2023","Tue Mar 07 16:27:25 CST 2023","29","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---报名中、已报名","逆向用例、重复报名他人发布的组局、组局状态为报名中、不可重复报名"
"passed","Tue Mar 07 16:27:36 CST 2023","Tue Mar 07 16:27:36 CST 2023","84","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局已结束","逆向用例、取消自己发布的组局、组局状态为已结束"
"passed","Tue Mar 07 16:27:23 CST 2023","Tue Mar 07 16:27:23 CST 2023","28","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局失败---席位数为空","新增有局---组局方式为空，预期：组局方式为空、新增失败"
"passed","Tue Mar 07 16:27:27 CST 2023","Tue Mar 07 16:27:27 CST 2023","144","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局已结束","逆向用例、报名他人发布的组局、组局状态为进行中，只有状态为报名中的组局才可报名"
"passed","Tue Mar 07 16:27:18 CST 2023","Tue Mar 07 16:27:18 CST 2023","26","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局失败---开始时间空","新增有局---组局开始时间为空，预期：开始时间为空、新增失败"
"passed","Tue Mar 07 16:27:22 CST 2023","Tue Mar 07 16:27:22 CST 2023","26","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局失败---组局方式空","新增有局---组局方式为空，预期：组局方式为空、新增失败"
"passed","Tue Mar 07 16:27:19 CST 2023","Tue Mar 07 16:27:19 CST 2023","27","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局失败---结束时间空","新增有局---组局结束时间为空，预期：结束时间为空、新增失败"
"passed","Tue Mar 07 16:27:17 CST 2023","Tue Mar 07 16:27:17 CST 2023","70","test_case_script","Test_add_meeting","Test_Add_Meeting","","","新增有局成功","新增有局---仅必填项填写，预期：新增成功"
"passed","Tue Mar 07 16:27:32 CST 2023","Tue Mar 07 16:27:32 CST 2023","67","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局已完成","逆向用例、报名他人发布的组局、组局状态为已作废，只有状态为报名中的组局才可报名"
"passed","Tue Mar 07 16:27:24 CST 2023","Tue Mar 07 16:27:24 CST 2023","102","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局成功","正向用例、报名他人发布的组局、组局状态为报名中"
"passed","Tue Mar 07 16:27:33 CST 2023","Tue Mar 07 16:27:33 CST 2023","123","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局成功","正向用例、取消自己发布的组局、组局状态为报名中"
"passed","Tue Mar 07 16:27:39 CST 2023","Tue Mar 07 16:27:39 CST 2023","297","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局已失败","逆向用例、取消自己发布的组局、组局状态为组局失败"
"passed","Tue Mar 07 16:27:41 CST 2023","Tue Mar 07 16:27:41 CST 2023","97","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局已完成","逆向用例、取消自己发布的组局、组局状态为已完成"
"passed","Tue Mar 07 16:27:34 CST 2023","Tue Mar 07 16:27:34 CST 2023","87","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局进行中","逆向用例、取消自己发布的组局、组局状态为进行中"
"passed","Tue Mar 07 16:27:37 CST 2023","Tue Mar 07 16:27:37 CST 2023","103","test_case_script","Test_cancel_meeting","Test_Cancel_Meeting","","","取消组局失败---组局已作废","逆向用例、取消自己发布的组局、组局状态为已作废"
"passed","Tue Mar 07 16:27:28 CST 2023","Tue Mar 07 16:27:29 CST 2023","68","test_case_script","Test_apply_meeting","Test_Apply_Meeting","","","报名组局失败---组局已作废","逆向用例、报名他人发布的组局、组局状态为已作废，只有状态为报名中的组局才可报名"
